title,date_time,like,views,link,description
Government Jobs vs Private Jobs in Tech | Which is Better for You?,"Jul 9, 2025",759,23K views,https://www.youtube.com//watch?v=PzqlfQUqU_o,"Confused between a government job and a private sector job in the tech industry? In this video, we’ll help you understand the key differences in salary, job security, growth opportunities, work-life balance, and skill development between the two career paths. Whether you're a fresher fro …...more
...more





Transcript


Follow along using the transcript.


Show transcript




GeeksforGeeks

      1.09M subscribers
    



Videos
About








VideosAboutXLinkedinInstagram













Show less
"
Backend Development Roadmap 2025 | Become Job-Ready!,"Jul 5, 2025",1.2K,30K views,https://www.youtube.com//watch?v=nuRKzG0Pkjg,"Confused between Python, Node.js, or Java? SQL vs NoSQL? REST vs GraphQL? You’re not alone.

In this video, we break down the complete Backend Development roadmap, perfect for begi …...more
...more





Transcript


Follow along using the transcript.


Show transcript




GeeksforGeeks

      1.09M subscribers
    



Videos
About








VideosAboutXLinkedinInstagram













Show less
"
India’s Biggest Launch for GATE ECE & EE Aspirants | Complete Roadmap 2026,"Jul 4, 2025",42,1.7K views,https://www.youtube.com//watch?v=Y1Gj7dp0GGQ,"🔥 India's Biggest Launch for GATE ECE & EE Aspirants is Here! If you're targeting GATE 2026, this video gives you the complete preparation roadmap, subject-wise strategy, and month-wise plan to crack the exam with a top rank. Learn how to start from basics, master core electronics and …...more
...more





Transcript


Follow along using the transcript.


Show transcript




GeeksforGeeks

      1.09M subscribers
    



Videos
About








VideosAboutXLinkedinInstagram













Show less
"
All About NIMCET | How To Do MCA From Top NIT's? | Exam Pattern | Syllabus | Cutoff | Resources,"Jul 3, 2025",1K,25K views,https://www.youtube.com//watch?v=1V8gOpApj-M,"NIMCET Batch Link - https://www.geeksforgeeks.org/courses...

Preparing for NIMCET, the gateway to MCA courses in top NITs? In this complete guide, we  …...more
...more





Transcript


Follow along using the transcript.


Show transcript




GeeksforGeeks

      1.09M subscribers
    



Videos
About








VideosAboutXLinkedinInstagram













Show less
"
What To Do In College 3rd Year? | B.Tech 3rd Year Complete Roadmap,"Jun 29, 2025",3.7K,80K views,https://www.youtube.com//watch?v=dcwHfar4y04,"Tayyari Batch Link - https://www.geeksforgeeks.org/courses...

Pre Register for Nation SkillUp -  https://gfgcdn.com/tu/VJ5/ …...more
...more





Transcript


Follow along using the transcript.


Show transcript




GeeksforGeeks

      1.09M subscribers
    



Videos
About








VideosAboutXLinkedinInstagram













Show less
"
Want to Crack System Design Interview? Use This 4-Step Framework! 🚀,"Jun 28, 2025",132,3.1K views,https://www.youtube.com//watch?v=r-_7dPR_TdE,"System Design Interviews Made Easy ⚙️ | The Ultimate Framework for Cracking SD Rounds

Feeling stuck when it comes to System Design interviews? Nervous about vague questions  …...more
...more








Chapters







View all



















Introduction
Introduction
0:00




Introduction

0:00









understanding the process
understanding the process
1:19




understanding the process

1:19









proposing high level design
proposing high level design
3:01




proposing high level design

3:01









design deep dive
design deep dive
4:09




design deep dive

4:09









summarize the design
summarize the design
5:06




summarize the design

5:06
















Transcript


Follow along using the transcript.


Show transcript




GeeksforGeeks

      1.09M subscribers
    



Videos
About








VideosAboutXLinkedinInstagram













Show less
"
JavaScript explained in just 7 Minutes!,"Jun 26, 2025",3.4K,61K views,https://www.youtube.com//watch?v=VoKFyB1q4fc,"Learn JavaScript Basic in 7 Minutes ⚡| The Ultimate Beginner’s Guide for Web Development

Struggling with JavaScript? Feeling like it’s impossible to understand in just a few minutes?  …...more
...more








Chapters







View all



















Start
Start
0:00




Start

0:00









JS Basics & Variables
JS Basics & Variables
0:45




JS Basics & Variables

0:45









Data Types in JS
Data Types in JS
1:47




Data Types in JS

1:47









DOM Manipulation
DOM Manipulation
2:37




DOM Manipulation

2:37









Hoisting in JavaScript
Hoisting in JavaScript
3:59




Hoisting in JavaScript

3:59









Callbacks & Promises
Callbacks & Promises
7:10




Callbacks & Promises

7:10
















Transcript


Follow along using the transcript.


Show transcript




GeeksforGeeks

      1.09M subscribers
    



Videos
About








VideosAboutXLinkedinInstagram













Show less
"
Nation Skill Up | GeeksforGeeks | #skillupwithgfg,"Jun 26, 2025",582,41K views,https://www.youtube.com//watch?v=oCLCpWdEoD4,"Pre-register to get notified when Nation Skillup starts: https://gfgcdn.com/tu/VJ5/

Too many learners pause before they start. Not because they lack potential— But because t …...more
...more








Music
2 songs




















UnstoppableSilenceArtSilenceArtRock SolidStockSoundsStockSounds








Music



Transcript


Follow along using the transcript.


Show transcript




GeeksforGeeks

      1.09M subscribers
    



Videos
About








VideosAboutXLinkedinInstagram













Show less
"
How To Start Coding In 2025 & 2026 | Complete Roadmap For Beginners 🚀,"Jun 25, 2025",2.1K,60K views,https://www.youtube.com//watch?v=64UiZTEybw4&pp=0gcJCccJAYcqIYzv,"Tayyari Batch Link - https://www.geeksforgeeks.org/courses...

Pre Register for Nation SkillUp -  https://gfgcdn.com/tu/VJ5/ …...more
...more





Transcript


Follow along using the transcript.


Show transcript




GeeksforGeeks

      1.09M subscribers
    



Videos
About








VideosAboutXLinkedinInstagram













Show less
"
How to never fail a technical interview,"Jun 24, 2025",262,5.5K views,https://www.youtube.com//watch?v=bIiSueAh0fM,"Why Most Engineers FAIL in Google & Microsoft Interviews 💼🧠
Cracking a job at Google, Microsoft, Amazon, or Facebook is the dream of almost every Indian engineer. But why do so many fail even after solving 300+ questions on platforms like LeetC …...more
...more





Transcript


Follow along using the transcript.


Show transcript




GeeksforGeeks

      1.09M subscribers
    



Videos
About








VideosAboutXLinkedinInstagram













Show less
"
Get ready to #skillupwithgfg,"Jun 23, 2025",246,31K views,https://www.youtube.com//watch?v=Ub5x0TSOAl8,"Click here to set your reminders for the big day: https://gfgcdn.com/tu/VJ5/

Something HUGE is brewing at GfG - and yep, it’s bigger than anything we’ve ever done. …...more
...more








Music
2 songs




















The Epic LegendGlebatorInspirational Vol. 2Rock SolidStockSoundsStockSounds








Music



Transcript


Follow along using the transcript.


Show transcript




GeeksforGeeks

      1.09M subscribers
    



Videos
About








VideosAboutXLinkedinInstagram













Show less
"
"Crack GATE 2026 with This Strategy | Deep Prep, Smart Revision & GfG Tools! 🚀📚","Jun 21, 2025",92,2.4K views,https://www.youtube.com//watch?v=RrKfPhCRLOo,"GATE isn’t just another exam, it’s a full-blown challenge. In this video, we break down how to approach GATE 2026 the right way,  with clarity, consistency, and strategy. 
Whether you're just starting out or looking to upgrade your plan, this guide is all you need to  …...more
...more








Chapters







View all



















Intro
Intro
0:00




Intro

0:00









Understanding the Syllabus, Your 1st Step to Clarity
Understanding the Syllabus, Your 1st Step to Clarity
0:43




Understanding the Syllabus, Your 1st Step to Clarity

0:43









The Early Start
The Early Start
1:24




The Early Start

1:24









Consistency Over Everything
Consistency Over Everything
2:04




Consistency Over Everything

2:04









Practice and Real-World Problem Solving
Practice and Real-World Problem Solving
2:40




Practice and Real-World Problem Solving

2:40









GeeksforGeeks - Learn from the Best
GeeksforGeeks - Learn from the Best
3:20




GeeksforGeeks - Learn from the Best

3:20









Mock Tests and Revision - Sharpening Your Skills
Mock Tests and Revision - Sharpening Your Skills
4:08




Mock Tests and Revision - Sharpening Your Skills

4:08









Focused Environment
Focused Environment
4:43




Focused Environment

4:43
















Transcript


Follow along using the transcript.


Show transcript




GeeksforGeeks

      1.09M subscribers
    



Videos
About








VideosAboutXLinkedinInstagram













Show less
"
DSA Free Course | Dynamic Programming In One Shot | DSA | DP In One Shot,"Jun 20, 2025",925,26K views,https://www.youtube.com//watch?v=Z8USYkiRvZw,"Tayyari Batch Link - https://www.geeksforgeeks.org/courses...

GfG Telegram ID -  https://t.me/geeksforgeeks_official …...more
...more








Chapters







View all



















Why Dynamic Programming
Why Dynamic Programming
0:00




Why Dynamic Programming

0:00









Nth Fibonacci Number ( Recursion )
Nth Fibonacci Number ( Recursion )
3:00




Nth Fibonacci Number ( Recursion )

3:00









Stickler Thief
Stickler Thief
30:06




Stickler Thief

30:06









Min Cost Climbing Stairs
Min Cost Climbing Stairs
47:53




Min Cost Climbing Stairs

47:53









Number ( Unique ) Of Paths
Number ( Unique ) Of Paths
1:08:49




Number ( Unique ) Of Paths

1:08:49









Maximum Path Sum In Matrix
Maximum Path Sum In Matrix
1:31:30




Maximum Path Sum In Matrix

1:31:30









Tabulation ( Asli DP )
Tabulation ( Asli DP )
1:52:59




Tabulation ( Asli DP )

1:52:59









Nth Fibonacci Number ( Tabulation )
Nth Fibonacci Number ( Tabulation )
1:54:02




Nth Fibonacci Number ( Tabulation )

1:54:02
















Transcript


Follow along using the transcript.


Show transcript




GeeksforGeeks

      1.09M subscribers
    



Videos
About








VideosAboutXLinkedinInstagram













Show less
"
I Investigated Tech Layoffs in 2025,"Jun 13, 2025",394,13K views,https://www.youtube.com//watch?v=dLx4-RIGFxc,"Are Tech Layoffs the New Normal in 2025? 🤖📉
In this video, we break down the shocking wave of tech layoffs in 2025 — from Microsoft and Meta to Indian giants like Byju’s, Ola, and Vedantu. What's really happening in the tech industry? Is …...more
...more








Chapters







View all



















Intro
Intro
0:00




Intro

0:00









What’s happening in tech?
What’s happening in tech?
0:42




What’s happening in tech?

0:42









AI & Automation: Cause or scapegoat?
AI & Automation: Cause or scapegoat?
2:01




AI & Automation: Cause or scapegoat?

2:01









India’s startup struggles
India’s startup struggles
3:34




India’s startup struggles

3:34









Are jobs really at risk?
Are jobs really at risk?
4:20




Are jobs really at risk?

4:20









What you can do to prepare
What you can do to prepare
5:05




What you can do to prepare

5:05









GFG's ML-AI Course (50% Off)
GFG's ML-AI Course (50% Off)
6:00




GFG's ML-AI Course (50% Off)

6:00
















Transcript


Follow along using the transcript.


Show transcript




GeeksforGeeks

      1.09M subscribers
    



Videos
About








VideosAboutXLinkedinInstagram









7:25
    7:25
  






B.Tech Vs BCA 🤔 | Which Is Better to Become a Software Engineer?
by GeeksforGeeks










Show less
"
The Harsh Truth About Off-Campus Placements 😓,"Jun 12, 2025",2.1K,44K views,https://www.youtube.com//watch?v=fyPouwWT1qE,"Tayyari Batch Link - https://www.geeksforgeeks.org/courses...

GfG Telegram ID -  https://t.me/geeksforgeeks_official …...more
...more





Transcript


Follow along using the transcript.


Show transcript




GeeksforGeeks

      1.09M subscribers
    



Videos
About








VideosAboutXLinkedinInstagram









13:13
    13:13
  






What Should You Do in B.Tech 2nd Year? | Complete Roadmap for Students | B.Tech Roadmap
by GeeksforGeeks










Show less
"
How To Become a Scientist In ISRO? | Exam Pattern | CutOff | Syllabus | Step-by-Step Guide,"Jun 10, 2025",269,9.3K views,https://www.youtube.com//watch?v=hWiHpClK45Q,"Mission ISRO CSE - https://www.geeksforgeeks.org/courses...

Mission ISRO ECE - https://www.geeksforgeeks.org/courses... …...more
...more








Chapters







View all



















Don't Skip
Don't Skip
0:00




Don't Skip

0:00









How To Become a Scientist In ISRO
How To Become a Scientist In ISRO
0:53




How To Become a Scientist In ISRO

0:53









Eligibility Criteria
Eligibility Criteria
1:14




Eligibility Criteria

1:14









Exam Pattern
Exam Pattern
1:34




Exam Pattern

1:34









Syllabus CSE
Syllabus CSE
2:17




Syllabus CSE

2:17









Syllabus ECE
Syllabus ECE
2:51




Syllabus ECE

2:51









Selection Process
Selection Process
3:30




Selection Process

3:30









Pay Scale
Pay Scale
4:52




Pay Scale

4:52
















Transcript


Follow along using the transcript.


Show transcript




GeeksforGeeks

      1.09M subscribers
    



Videos
About








VideosAboutXLinkedinInstagram













Show less
"
Most Asked DSA Questions in Interviews | Crack Any Coding Round,"Jun 8, 2025",504,12K views,https://www.youtube.com//watch?v=PeyQLrPUZCg,"Are you preparing for coding interviews? Then you must know which DSA (Data Structures & Algorithms) topics are most frequently asked by top tech companies. In this video, we’ve compiled a list of high-priority topics based on real interview experiences and company-specific patte …...more
...more








Music
1 songs




















Uplifting And Inspiring Acoustic CorporateWavecontUplifting And Inspiring Acoustic Corporate








Music



Transcript


Follow along using the transcript.


Show transcript




GeeksforGeeks

      1.09M subscribers
    



Videos
About








VideosAboutXLinkedinInstagram













Show less
"
The Future of Coding is Here,"Jun 6, 2025",384,9K views,https://www.youtube.com//watch?v=0aV6iL1anrg,"What if you could code… without actually writing code? 🤯
Welcome to the future, Vibe Coding. In this video, we’re diving into a revolutionary way to build software using AI as your coding partner. From planning and architecture to testing and des …...more
...more








Chapters







View all



















Start
Start
0:00




Start

0:00









Definition of Vibe Coding?
Definition of Vibe Coding?
0:37




Definition of Vibe Coding?

0:37









How to Guide AI? #1 Planning
How to Guide AI? #1 Planning
1:18




How to Guide AI? #1 Planning

1:18









2 No Rush
2 No Rush
2:48




2 No Rush

2:48
















Transcript


Follow along using the transcript.


Show transcript




GeeksforGeeks

      1.09M subscribers
    



Videos
About








VideosAboutXLinkedinInstagram













Show less
"
B.Tech Vs BCA 🤔 | Which Is Better to Become a Software Engineer?,"Jun 4, 2025",455,15K views,https://www.youtube.com//watch?v=wfhFVAzbr3o,"Want to become a Software Engineer but confused between B.Tech and BCA? 🤔 In this video, we break down the key differences between B.Tech (Bachelor of Technology) and BCA (Bachelor of Computer Applications), and help you decide which path is better suited for your software d …...more
...more





Transcript


Follow along using the transcript.


Show transcript




GeeksforGeeks

      1.09M subscribers
    



Videos
About








VideosAboutXLinkedinInstagram













Show less
"
All About GATE Exam | Exam Pattern | Syllabus | Eligibility | Complete Information,"May 31, 2025",3.2K,107K views,https://www.youtube.com//watch?v=GckOyw4ToSs,"In this comprehensive video, we cover everything you need to know about the GATE exam! Whether you're a first-time aspirant or planning to reattempt, this guide breaks down the GATE exam pattern, syllabus, eligibility criteria, and other key details. We also discuss how the GATE score is us …...more
...more





Transcript


Follow along using the transcript.


Show transcript




GeeksforGeeks

      1.09M subscribers
    



Videos
About








VideosAboutXLinkedinInstagram













Show less
"
10 Programming Myths You Should Know in 2025 🚀,"May 29, 2025",228,4.4K views,https://www.youtube.com//watch?v=oOrNs68qUAw,"In this video, we break down 10 popular myths,  like “AI will replace programmers” or “Clean code means constant refactoring” and explain what actually matters for your growth.
 …...more
...more








Chapters







View all



















Start
Start
0:00




Start

0:00









Myth #1
Myth #1
0:31




Myth #1

0:31









Myth #2
Myth #2
1:12




Myth #2

1:12









Myth #3
Myth #3
1:45




Myth #3

1:45









Myth #4
Myth #4
2:42




Myth #4

2:42









Myth #5
Myth #5
3:19




Myth #5

3:19









Myth #6
Myth #6
3:46




Myth #6

3:46









Myth #7
Myth #7
4:16




Myth #7

4:16
















Transcript


Follow along using the transcript.


Show transcript




GeeksforGeeks

      1.09M subscribers
    



Videos
About








VideosAboutXLinkedinInstagram













Show less
"
GeeksforGeeks Connect: Join Us as a Mentor or Tech Expert!,"May 28, 2025",46,20K views,https://www.youtube.com//watch?v=G19b7AnFoGs,"Join Now - https://connect.geeksforgeeks.org/

You’ve solved problems, built systems, faced interviews, and shaped your career with clarity …...more
...more





Transcript


Follow along using the transcript.


Show transcript




GeeksforGeeks

      1.09M subscribers
    



Videos
About








VideosAboutXLinkedinInstagram













Show less
"
Tech Placement And Internship Preparation Cohort | Tayyari Batch QNA,"May 27, 2025",154,4.1K views,https://www.youtube.com//watch?v=RG3JP7tGVHQ,"Tayyari Batch Link - https://www.geeksforgeeks.org/courses...

Welcome to the exclusive Q&A session for the Tayyari Batch – your ultimate guide to cracki …...more
...more





Transcript


Follow along using the transcript.


Show transcript




GeeksforGeeks

      1.09M subscribers
    



Videos
About








VideosAboutXLinkedinInstagram













Show less
"
The Harsh Reality of On-Campus Placements in India! 😓,"May 22, 2025",1.1K,30K views,https://www.youtube.com//watch?v=DkkkrFjmbFk,"Flat discount active on all GeeksforGeeks Courses. Avail before the limited time offers end: https://www.geeksforgeeks.org/courses
 …...more
...more





Transcript


Follow along using the transcript.


Show transcript




GeeksforGeeks

      1.09M subscribers
    



Videos
About








VideosAboutXLinkedinInstagram













Show less
"
DSA Roadmap! 🔥 Beginner to Advanced Level! | DSA 2025 Preparation,"May 20, 2025",373,9.1K views,https://www.youtube.com//watch?v=b1TjfYOYtn8,"Are you ready to master Data Structures and Algorithms (DSA) from scratch? 🔥 In this video, we bring you a complete DSA roadmap for 2025 — covering all essential topics from beginner to advanced level. Whether you're a college student, a GATE aspirant, or preparing for placeme …...more
...more





Transcript


Follow along using the transcript.


Show transcript




GeeksforGeeks

      1.09M subscribers
    



Videos
About








VideosAboutXLinkedinInstagram













Show less
"
Government Jobs After B.Tech CSE | Top Opportunities for CS Students ‪@GfG_GATE‬,"May 19, 2025",382,10K views,https://www.youtube.com//watch?v=jwr-YhyFMck,"🎯 If you’re a B.Tech Computer Science student wondering what government job options are available, this video is for you! In this detailed guide, we cover all major government job opportunities after B.Tech in CSE, including PSUs through GATE (like ONGC, NTPC, IOCL), D …...more
...more





Transcript


Follow along using the transcript.


Show transcript




GeeksforGeeks

      1.09M subscribers
    



Videos
About








VideosAboutXLinkedinInstagram













Show less
"
GATE Vs Off-Campus Placement – Which One Should You Choose?,"May 18, 2025",198,5.7K views,https://www.youtube.com//watch?v=wP3OMwf2gro,"Tayyari Batch Link - https://www.geeksforgeeks.org/courses...

Confused between preparing for GATE placements or going for an off-campus job? In this vi …...more
...more





Transcript


Follow along using the transcript.


Show transcript




GeeksforGeeks

      1.09M subscribers
    



Videos
About








VideosAboutXLinkedinInstagram













Show less
"
Get an Internship in 1st year of college with this roadmap | GeeksforGeeks,"May 17, 2025",1.4K,33K views,https://www.youtube.com//watch?v=c3ZBJDKzuk8,"Still confused about what to do in your 1st year of college? You're not alone.

This video is your ultimate roadmap to land dream internships — from choosing the right ski …...more
...more








Chapters







View all



















Start
Start
0:00




Start

0:00









Step #1
Step #1
0:48




Step #1

0:48









Step #2
Step #2
1:39




Step #2

1:39









Step #3
Step #3
2:12




Step #3

2:12









Step #4
Step #4
2:35




Step #4

2:35









Step #5
Step #5
3:24




Step #5

3:24









Step #6
Step #6
4:12




Step #6

4:12









Step #7
Step #7
4:44




Step #7

4:44
















Transcript


Follow along using the transcript.


Show transcript




GeeksforGeeks

      1.09M subscribers
    



Videos
About








VideosAboutXLinkedinInstagram













Show less
"
DARK Side of LinkedIn Job Hunting! | How to actually get a job in 2025?,"May 16, 2025",4.6K,123K views,https://www.youtube.com//watch?v=9yBY0BOZhUE,"🎯 Still hearing nothing after applying on LinkedIn? You’re not alone.

This video uncovers why the LinkedIn hiring system feels broken — from resume black hole …...more
...more








Chapters







View all



















Start
Start
0:00




Start

0:00









About the video
About the video
1:00




About the video

1:00









Problem #1
Problem #1
1:24




Problem #1

1:24









Problem #2
Problem #2
2:06




Problem #2

2:06









Problem #3
Problem #3
2:42




Problem #3

2:42









Problem #4
Problem #4
3:20




Problem #4

3:20









Problem #5
Problem #5
3:59




Problem #5

3:59









Solution?
Solution?
4:36




Solution?

4:36
















Transcript


Follow along using the transcript.


Show transcript




GeeksforGeeks

      1.09M subscribers
    



Videos
About








VideosAboutXLinkedinInstagram













Show less
"
How To Learn DSA In 2025? | DSA Placement Preparation | DSA Roadmap,"May 15, 2025",570,15K views,https://www.youtube.com//watch?v=oUgR9svcSDE,"Tayyari Batch Link - https://www.geeksforgeeks.org/courses...

Welcome to the Live DSA Placement Course – your ultimate guide to cracking product-base …...more
...more





Transcript


Follow along using the transcript.


Show transcript




GeeksforGeeks

      1.09M subscribers
    



Videos
About








VideosAboutXLinkedinInstagram













Show less
"
What Should You Do in B.Tech 2nd Year? | Complete Roadmap for Students | B.Tech Roadmap,"May 14, 2025",4.8K,120K views,https://www.youtube.com//watch?v=W51MwMYP3CQ,"B.Tech 2nd year is a make-or-break phase for every engineering student—especially in 2024 where the tech world is evolving fast. In this video, we’ll guide you on how to utilize your 2nd year effectively by balancing coding, academics, internships, and skill-building. Should you focus …...more
...more





Transcript


Follow along using the transcript.


Show transcript




GeeksforGeeks

      1.09M subscribers
    



Videos
About








VideosAboutXLinkedinInstagram













Show less
"
IT Jobs Are DYING? 😨 Watch Before It's TOO Late | The TRUTH About IT Jobs in 2025,"May 10, 2025",103,2.8K views,https://www.youtube.com//watch?v=c8jCVSpUklc,"🚨 Are IT jobs really dying? Or is the industry just evolving? In this eye-opening video, we break down the truth behind the current job market in tech – from layoffs and AI disruption to the rising demand for new skills. Whether you're just starting out, switching careers, or worried about j …...more
...more








Music
1 songs




















Epic.mp3Евгений Городный








Music



Transcript


Follow along using the transcript.


Show transcript




GeeksforGeeks

      1.09M subscribers
    



Videos
About








VideosAboutXLinkedinInstagram













Show less
"
GATE Discrete Mathematics Demo Video with Satish Sir | What is Graph Theory? Free GATE Course Video,"May 9, 2025",120,4.4K views,https://www.youtube.com//watch?v=Yq-eb-Hx9oQ,"📥 Enroll now & start your preparation with India’s most trusted GATE mentors. Connect with us today for a free counselling session 👉 https://www.geeksforgeeks.org/courses...
 …...more
...more





Transcript


Follow along using the transcript.


Show transcript




GeeksforGeeks

      1.09M subscribers
    



Videos
About








VideosAboutXLinkedinInstagram













Show less
"
Big Update: Full DSA Course in Java Absolutely FREE! 💻🚀 |  DSA in Java,"May 8, 2025",2.6K,61K views,https://www.youtube.com//watch?v=muEd2Zlc33I,"📢 Big Update for all programming enthusiasts! We are excited to launch a Complete FREE DSA Series in Java — specially curated for beginners and intermediate learners. This series will cover Data Structures and Algorithms in depth using Java, from basic concepts to advanced probl …...more
...more





Transcript


Follow along using the transcript.


Show transcript




GeeksforGeeks

      1.09M subscribers
    



Videos
About








VideosAboutXLinkedinInstagram













Show less
"
